STRUCTURE;STRUCTURE_ID;STRUCTURE_NAME;ACTION;FREQ;Frequency of observation;ADJUSTMENT;Adjustment;REF_AREA;Reference area;SECTOR;Institutional sector;COUNTERPART_SECTOR;Counterpart institutional sector;TRANSACTION;Transaction;INSTR_ASSET;Financial instruments and non-financial assets;ACTIVITY;Economic activity;EXPENDITURE;Expenditure;UNIT_MEASURE;Unit of measure;PRICE_BASE;Price base;TRANSFORMATION;Transformation;TABLE_IDENTIFIER;Table identifier;TIME_PERIOD;Time period;OBS_VALUE;Observation value;REF_YEAR_PRICE;Price reference year;BASE_PER;Base period;CONF_STATUS;Confidentiality status;DECIMALS;Decimals;OBS_STATUS;Observation status;UNIT_MULT;Unit multiplier;CURRENCY;Currency
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2019-Q4;;-0.072161;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;1999-Q1;;0.544369;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2009-Q1;;-2.320191;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2008-Q4;;-2.04939;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2000-Q1;;0.9299;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2007-Q4;;0.488622;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2008-Q2;;0.024285;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2008-Q1;;0.079029;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2024-Q3;;0.487876;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2024-Q2;;0.496366;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2024-Q1;;0.281973;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2023-Q4;;0.404842;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2023-Q3;;0.45749;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2023-Q2;;0.403844;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2023-Q1;;0.584393;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2022-Q4;;0.417358;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2022-Q3;;0.470318;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2022-Q2;;0.367573;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2022-Q1;;-0.070632;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2019-Q1;;0.547766;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2002-Q2;;0.57333;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2018-Q4;;0.213243;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2018-Q3;;0.237826;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
DATAFLOW;OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_G20(1.1);Quarterly real GDP growth - G20 countries;I;Q;Quarterly;Y;Calendar and seasonally adjusted;G7;G7;S1;Total economy;S1;Total economy;B1GQ;Gross domestic product;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;PC;Percentage change;L;Chain linked volume;G1;Growth rate, period on period;T0102;Table 0102 - GDP identity from the expenditure side;2018-Q2;;0.479388;;;;;;F;Free (free for publication);1;One;A;Normal value;0;Units;_Z;Not applicable
